date,weekday,session,attended
2025-11-24,Monday,Stand up,NaN
2025-11-24,Monday,Guided session,NaN
2025-11-24,Monday,Stand down,NaN

2025-11-25,Tuesday,Stand up,NaN
2025-11-25,Tuesday,Stand down,NaN

2025-11-26,Wednesday,Stand up,NaN
2025-11-26,Wednesday,Careers Training,NaN
025-11-26,Wednesday,TSC masterclass,NaN
2025-11-26,Wednesday,Data coach,NaN
2025-11-26,Wednesday,Stand down,NaN

2025-11-27,Thursday,Stand up,NaN
2025-11-27,Thursday,TSC masterclass,NaN
2025-11-27,Thursday,Guided session,NaN
2025-11-27,Thursday,Stand down,NaN

2025-11-28,Friday,Stand up,NaN
2025-11-28,Friday,Data coach,NaN
2025-11-28,Friday,Stand down,NaN
