date,weekday,session,attended
2025-12-22,Monday,Stand up,NaN
2025-12-22,Monday,Guided session,NaN
2025-12-22,Monday,Stand down,NaN

2025-12-23,Tuesday,Stand up,NaN
2025-12-23,Tuesday,TSC masterclass,NaN
2025-12-23,Tuesday,Stand down,NaN

2025-12-24,Wednesday,Stand up,NaN
2025-12-24,Wednesday,Data coach,NaN
2025-12-24,Wednesday,Stand down,NaN

2025-12-25,Thursday,Stand up,NaN
2025-12-25,Thursday,TSC masterclass,NaN
2025-12-25,Thursday,Guided session,NaN
2025-12-25,Thursday,Stand down,NaN

2025-12-26,Friday,Stand up,NaN
2025-12-26,Friday,Data coach,NaN
2025-12-26,Friday,Stand down,NaN
