date,weekday,session,attended
2025-12-29,Monday,Stand up,NaN
2025-12-29,Monday,Guided session,NaN
2025-12-29,Monday,Stand down,NaN

2025-12-30,Tuesday,Stand up,NaN
2025-12-30,Tuesday,TSC masterclass,NaN
2025-12-30,Tuesday,Stand down,NaN

2025-12-31,Wednesday,Stand up,NaN
2025-12-31,Wednesday,Data coach,NaN
2025-12-31,Wednesday,Stand down,NaN

2026-01-01,Thursday,Stand up,NaN
2026-01-01,Thursday,TSC masterclass,NaN
2026-01-01,Thursday,Guided session,NaN
2026-01-01,Thursday,Stand down,NaN

2026-01-02,Friday,Stand up,NaN
2026-01-02,Friday,Data coach,NaN
2026-01-02,Friday,Stand down,NaN
