date,weekday,session,attended
2025-11-10,Monday,Stand up,NaN
2025-11-10,Monday,Guided session,NaN
2025-11-10,Monday,Stand down,NaN

2025-11-11,Tuesday,Stand up,NaN
2025-11-11,Tuesday,Stand down,NaN

2025-11-12,Wednesday,Stand up,NaN
2025-11-12,Wednesday,Data coach,NaN
2025-11-12,Wednesday,Stand down,NaN

2025-11-13,Thursday,Stand up,NaN
2025-11-13,Thursday,TSC masterclass,NaN
2025-11-13,Thursday,Guided session,NaN
2025-11-13,Thursday,Stand down,NaN

2025-11-14,Friday,Stand up,NaN
2025-11-14,Friday,Data coach,NaN
2025-11-14,Friday,Stand down,NaN
