date,weekday,session,attended
2026-01-12,Monday,Stand up,NaN
2026-01-12,Monday,Guided session,NaN
2026-01-12,Monday,Stand down,NaN

2026-01-13,Tuesday,Stand up,NaN
2026-01-13,Tuesday,TSC masterclass,NaN
2026-01-13,Tuesday,Stand down,NaN

2026-01-14,Wednesday,Stand up,NaN
2026-01-14,Wednesday,Data coach,NaN
2026-01-14,Wednesday,Stand down,NaN

2026-01-15,Thursday,Stand up,NaN
2026-01-15,Thursday,TSC masterclass,NaN
2026-01-15,Thursday,Guided session,NaN
2026-01-15,Thursday,Stand down,NaN

2026-01-16,Friday,Stand up,NaN
2026-01-16,Friday,Data coach,NaN
2026-01-16,Friday,Stand down,NaN
