date,weekday,session,attended
2025-12-15,Monday,Stand up,NaN
2025-12-15,Monday,Guided session,NaN
2025-12-15,Monday,Stand down,NaN

2025-12-16,Tuesday,Stand up,NaN
2025-12-16,Tuesday,TSC masterclass,NaN
2025-12-16,Tuesday,Stand down,NaN

2025-12-17,Wednesday,Stand up,NaN
2025-12-17,Wednesday,Data coach,NaN
2025-12-17,Wednesday,Stand down,NaN

2025-12-18,Thursday,Stand up,NaN
2025-12-18,Thursday,TSC masterclass,NaN
2025-12-18,Thursday,Guided session,NaN
2025-12-18,Thursday,Stand down,NaN

2025-12-19,Friday,Stand up,NaN
2025-12-19,Friday,Data coach,NaN
2025-12-19,Friday,Stand down,NaN
