date,weekday,session,attended
2026-01-05,Monday,Stand up,NaN
2026-01-05,Monday,Guided session,NaN
2026-01-05,Monday,Stand down,NaN

2026-01-06,Tuesday,Stand up,NaN
2026-01-06,Tuesday,TSC masterclass,NaN
2026-01-06,Tuesday,Stand down,NaN

2026-01-07,Wednesday,Stand up,NaN
2026-01-07,Wednesday,Data coach,NaN
2026-01-07,Wednesday,Stand down,NaN

2026-01-08,Thursday,Stand up,NaN
2026-01-08,Thursday,TSC masterclass,NaN
2026-01-08,Thursday,Guided session,NaN
2026-01-08,Thursday,Stand down,NaN

2026-01-09,Friday,Stand up,NaN
2026-01-09,Friday,Data coach,NaN
2026-01-09,Friday,Stand down,NaN
