date,weekday,session,attended
2025-11-17,Monday,Stand up,NaN
2025-11-17,Monday,Guided session,NaN
2025-11-17,Monday,Stand down,NaN

2025-11-18,Tuesday,Stand up,NaN
2025-11-18,Tuesday,TSC masterclass,NaN
2025-11-18,Tuesday,Stand down,NaN

2025-11-19,Wednesday,Stand up,NaN
2025-11-19,Wednesday,Data coach,NaN
2025-11-19,Wednesday,Stand down,NaN

2025-11-20,Thursday,Stand up,NaN
2025-11-20,Thursday,TSC masterclass,NaN
2025-11-20,Thursday,Guided session,NaN
2025-11-20,Thursday,Stand down,NaN

2025-11-21,Friday,Stand up,NaN
2025-11-21,Friday,Data coach,NaN
2025-11-21,Friday,Stand down,NaN
