date,weekday,session,attended
2025-12-08,Monday,Stand up,NaN
2025-12-08,Monday,Guided session,NaN
2025-12-08,Monday,Stand down,NaN

2025-12-09,Tuesday,Stand up,NaN
2025-12-09,Tuesday,Stand down,NaN

2025-12-10,Wednesday,Stand up,NaN
2025-12-10,Wednesday,Careers Training,NaN
2025-12-10,Wednesday,TSC masterclass,NaN
2025-12-10,Wednesday,Data coach,NaN
2025-12-10,Wednesday,Stand down,NaN

2025-12-11,Thursday,Stand up,NaN
2025-12-11,Thursday,TSC masterclass,NaN
2025-12-11,Thursday,Guided session,NaN
2025-12-11,Thursday,Stand down,NaN

2025-12-12,Friday,Stand up,NaN
2025-12-12,Friday,Data coach,NaN
2025-12-12,Friday,Stand down,NaN
